
>AB087877.1|IGHV3-23*04|Homo sapiens||V-REGION|15..309|295 nt|1||||98 AA|98+0=98||	0.09184	0.02041	0.03061	0.02041	0.03061	0.12245	0.0	0.02041	0.04082	0.08163	0.02041	0.03061	0.02041	0.06122	0.05102	0.15306	0.05102	0.07143	0.02041	0.06122	
>AB087878.1|IGLV3-10*01|Homo sapiens||V-REGION|1..283|283 nt|1||||94 AA|94+0=94||	0.07447	0.02128	0.05319	0.05319	0.01064	0.08511	0.0	0.04255	0.04255	0.04255	0.01064	0.0	0.07447	0.06383	0.03191	0.17021	0.07447	0.05319	0.01064	0.08511	
>AB159798.1|IGHV1-72*01|Mus musculus||V-REGION|1..294|294 nt|1||||98 AA|98+0=98||	0.06122	0.02041	0.03061	0.04082	0.02041	0.08163	0.0102	0.02041	0.08163	0.07143	0.02041	0.03061	0.05102	0.07143	0.04082	0.11224	0.06122	0.08163	0.03061	0.06122	
>AB159799.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.06186	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.08247	0.07216	0.02062	0.03093	0.05155	0.07216	0.03093	0.1134	0.06186	0.08247	0.03093	0.06186	
>AB159800.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.06186	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.09278	0.07216	0.02062	0.03093	0.05155	0.06186	0.03093	0.1134	0.06186	0.08247	0.03093	0.06186	
>AB159801.1|IGHV1-72*01|Mus musculus||V-REGION|1..294|294 nt|1||||98 AA|98+0=98||	0.07143	0.02041	0.03061	0.04082	0.02041	0.09184	0.0102	0.02041	0.09184	0.07143	0.02041	0.02041	0.04082	0.06122	0.04082	0.12245	0.08163	0.06122	0.02041	0.06122	
>AB159802.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.06186	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.08247	0.07216	0.02062	0.03093	0.05155	0.07216	0.03093	0.1134	0.06186	0.08247	0.03093	0.06186	
>AB159803.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.06186	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.08247	0.07216	0.02062	0.03093	0.05155	0.07216	0.03093	0.1134	0.06186	0.08247	0.03093	0.06186	
>AB159804.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.05155	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.08247	0.07216	0.02062	0.03093	0.05155	0.07216	0.03093	0.1134	0.07216	0.08247	0.03093	0.06186	
>AB159805.1|IGHV1-72*01|Mus musculus||V-REGION|1..291|291 nt|1||||97 AA|97+0=97||	0.06186	0.02062	0.03093	0.04124	0.02062	0.08247	0.01031	0.02062	0.08247	0.07216	0.02062	0.03093	0.05155	0.07216	0.03093	0.1134	0.06186	0.08247	0.03093	0.06186	
